timestamp,amount,sender_balance,balance_ratio,is_new_receiver,risk,risk_score,model_accuracy
2026-04-14 04:25:05,8000.0,10000.0,0.8,0,High Risk,65,1.0
2026-04-14 04:18:18,7000.0,17000.0,0.41,0,Low Risk,0,1.0
2026-04-14 04:17:24,8000.0,11000.0,0.73,0,High Risk,61,1.0
2026-04-14 04:15:24,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:10:23,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:47,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:47,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:46,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:46,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:46,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:46,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:45,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:45,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:45,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:45,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:45,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:44,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:43,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:40,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:38,8000.0,9000.0,0.89,0,High Risk,70,1.0
2026-04-14 04:06:21,9000.0,9000.0,1.0,0,High Risk,100,1.0
2026-04-14 04:06:19,9000.0,9000.0,1.0,0,High Risk,100,1.0
2026-04-14 04:06:13,9000.0,9000.0,1.0,0,High Risk,100,1.0
2026-04-14 03:20:20,500.0,11500.0,0.04,0,Low Risk,0,1.0
2026-04-14 03:20:04,500.0,12000.0,0.04,0,Low Risk,0,1.0
2026-04-14 03:19:12,2000.0,10000.0,0.2,0,Low Risk,0,1.0
2026-04-13 01:29:45,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-13 01:29:06,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 06:45:08,5000.0,15000.0,0.33,0,Low Risk,0,1.0
2026-04-12 06:44:38,2000.0,17000.0,0.12,0,Low Risk,0,1.0
2026-04-12 06:44:30,2000.0,5000.0,0.4,0,Low Risk,0,1.0
2026-04-12 06:43:11,2000.0,7000.0,0.29,0,Low Risk,0,1.0
2026-04-12 06:42:55,2000.0,9000.0,0.22,0,Low Risk,0,1.0
2026-04-12 06:27:33,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 06:27:03,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-12 06:26:51,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:59:07,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-12 05:57:05,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:42:28,2000.0,12000.0,0.17,0,Low Risk,0,1.0
2026-04-12 05:24:41,2000.0,14000.0,0.14,0,Low Risk,0,1.0
2026-04-12 05:24:20,1000.0,7000.0,0.14,0,Low Risk,0,1.0
2026-04-12 05:23:49,2000.0,9000.0,0.22,0,Low Risk,0,1.0
2026-04-12 05:23:13,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:16:39,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-12 05:16:13,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:15:41,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-12 05:15:18,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:13:10,2000.0,12000.0,0.17,0,Low Risk,0,1.0
2026-04-12 05:13:02,1000.0,9000.0,0.11,0,Low Risk,0,1.0
2026-04-12 05:12:53,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:12:40,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-12 05:09:47,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:09:05,1000.0,11000.0,0.09,0,Low Risk,0,1.0
